Performance1,,,,,,Performance2,,,,,,Performance3
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 11,,,,,,Run 11,,,,,,
-----,,,,,,-----,,,,,,Run 11
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 12,,,,,,Run 12,,,,,,
-----,,,,,,-----,,,,,,Run 12
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 13,,,,,,Run 13,,,,,,
-----,,,,,,-----,,,,,,Run 13
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 14,,,,,,Run 14,,,,,,
-----,,,,,,-----,,,,,,Run 14
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 15,,,,,,Run 15,,,,,,
-----,,,,,,-----,,,,,,Run 15
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 16,,,,,,Run 16,,,,,,
-----,,,,,,-----,,,,,,Run 16
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 17,,,,,,Run 17,,,,,,
-----,,,,,,-----,,,,,,Run 17
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 18,,,,,,Run 18,,,,,,
-----,,,,,,-----,,,,,,Run 18
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 19,,,,,,Run 19,,,,,,
-----,,,,,,-----,,,,,,Run 19
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
Iteration 18: SSE = 2772.151,,,,,,Iteration 18: SSE = 2772.151,,,,,,Iteration 17: SSE = 2777.051
Iteration 19: SSE = 2767.962,,,,,,Iteration 19: SSE = 2767.962,,,,,,Iteration 18: SSE = 2772.151
Iteration 20: SSE = 2764.368,,,,,,Iteration 20: SSE = 2764.368,,,,,,Iteration 19: SSE = 2767.962
Iteration 21: SSE = 2762.281,,,,,,Iteration 21: SSE = 2762.281,,,,,,Iteration 20: SSE = 2764.368
,,,,,,,,,,,,Iteration 21: SSE = 2762.281
Run 20,,,,,,Run 20,,,,,,
-----,,,,,,-----,,,,,,Run 20
Iteration 1: SSE = 5632.473,,,,,,Iteration 1: SSE = 5632.473,,,,,,-----
Iteration 2: SSE = 3646.454,,,,,,Iteration 2: SSE = 3646.454,,,,,,Iteration 1: SSE = 5632.473
Iteration 3: SSE = 3220.381,,,,,,Iteration 3: SSE = 3220.381,,,,,,Iteration 2: SSE = 3646.454
Iteration 4: SSE = 3114.89,,,,,,Iteration 4: SSE = 3114.89,,,,,,Iteration 3: SSE = 3220.381
Iteration 5: SSE = 3054.249,,,,,,Iteration 5: SSE = 3054.249,,,,,,Iteration 4: SSE = 3114.89
Iteration 6: SSE = 3012.444,,,,,,Iteration 6: SSE = 3012.444,,,,,,Iteration 5: SSE = 3054.249
Iteration 7: SSE = 2977.776,,,,,,Iteration 7: SSE = 2977.776,,,,,,Iteration 6: SSE = 3012.444
Iteration 8: SSE = 2937.804,,,,,,Iteration 8: SSE = 2937.804,,,,,,Iteration 7: SSE = 2977.776
Iteration 9: SSE = 2903.018,,,,,,Iteration 9: SSE = 2903.018,,,,,,Iteration 8: SSE = 2937.804
Iteration 10: SSE = 2881.473,,,,,,Iteration 10: SSE = 2881.473,,,,,,Iteration 9: SSE = 2903.018
Iteration 11: SSE = 2867.617,,,,,,Iteration 11: SSE = 2867.617,,,,,,Iteration 10: SSE = 2881.473
Iteration 12: SSE = 2855.435,,,,,,Iteration 12: SSE = 2855.435,,,,,,Iteration 11: SSE = 2867.617
Iteration 13: SSE = 2837.907,,,,,,Iteration 13: SSE = 2837.907,,,,,,Iteration 12: SSE = 2855.435
Iteration 14: SSE = 2818.151,,,,,,Iteration 14: SSE = 2818.151,,,,,,Iteration 13: SSE = 2837.907
Iteration 15: SSE = 2799.278,,,,,,Iteration 15: SSE = 2799.278,,,,,,Iteration 14: SSE = 2818.151
Iteration 16: SSE = 2784.921,,,,,,Iteration 16: SSE = 2784.921,,,,,,Iteration 15: SSE = 2799.278
Iteration 17: SSE = 2777.051,,,,,,Iteration 17: SSE = 2777.051,,,,,,Iteration 16: SSE = 2784.921
