Performance1,,,,,,Performance2,,,,,,Performance3
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 42,,,,,,Run 42,,,,,,Run 42
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 43,,,,,,Run 43,,,,,,Run 43
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 44,,,,,,Run 44,,,,,,Run 44
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 45,,,,,,Run 45,,,,,,Run 45
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 46,,,,,,Run 46,,,,,,Run 46
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 47,,,,,,Run 47,,,,,,Run 47
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 48,,,,,,Run 48,,,,,,Run 48
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 49,,,,,,Run 49,,,,,,Run 49
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 50,,,,,,Run 50,,,,,,Run 50
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 51,,,,,,Run 51,,,,,,Run 51
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 52,,,,,,Run 52,,,,,,Run 52
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 53,,,,,,Run 53,,,,,,Run 53
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 54,,,,,,Run 54,,,,,,Run 54
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2,,,,,,Iteration 10: SSE = 125428.2
Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3,,,,,,Iteration 11: SSE = 124858.3
Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6,,,,,,Iteration 12: SSE = 124456.6
Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198,,,,,,Iteration 13: SSE = 124198
Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2,,,,,,Iteration 14: SSE = 124032.2
Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8,,,,,,Iteration 15: SSE = 123895.8
Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4,,,,,,Iteration 16: SSE = 123776.4
,,,,,,,,,,,,
Run 55,,,,,,Run 55,,,,,,Run 55
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6,,,,,,Iteration 1: SSE = 248494.6
Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5,,,,,,Iteration 2: SSE = 164495.5
Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2,,,,,,Iteration 3: SSE = 141925.2
Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191,,,,,,Iteration 4: SSE = 135191
Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4,,,,,,Iteration 5: SSE = 131293.4
Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3,,,,,,Iteration 6: SSE = 128805.3
Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6,,,,,,Iteration 7: SSE = 127526.6
Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9,,,,,,Iteration 8: SSE = 126712.9
Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5,,,,,,Iteration 9: SSE = 126051.5
