Performance1,,,,,,Performance2,,,,,,Performance3
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 77,,,,,,Run 77,,,,,,Run 77
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 78,,,,,,Run 78,,,,,,Run 78
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 79,,,,,,Run 79,,,,,,Run 79
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 80,,,,,,Run 80,,,,,,Run 80
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 81,,,,,,Run 81,,,,,,Run 81
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 82,,,,,,Run 82,,,,,,Run 82
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 83,,,,,,Run 83,,,,,,Run 83
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 84,,,,,,Run 84,,,,,,Run 84
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 85,,,,,,Run 85,,,,,,Run 85
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 86,,,,,,Run 86,,,,,,Run 86
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 87,,,,,,Run 87,,,,,,Run 87
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
